id_manufacturer,cocoa_percent,ingredients,review_date,rating
1,76%,"3- B,S,C",2019,3.25
1,76%,"3- B,S,C",2019,3.5
1,76%,"3- B,S,C",2019,3.75
1,68%,"3- B,S,C",2021,3
1,72%,"3- B,S,C",2021,3
1,80%,"3- B,S,C",2021,3.25
1,68%,"3- B,S,C",2021,3.5
2,70%,"4- B,S,C,L",2012,3.5
2,63%,"4- B,S,C,L",2012,3.75
2,70%,"4- B,S,C,L",2013,2.75
2,70%,"4- B,S,C,L",2013,2.75
2,70%,"4- B,S,C,L",2013,3
2,70%,"4- B,S,C,L",2013,3
2,70%,"4- B,S,C,L",2013,3.25
2,70%,"4- B,S,C,L",2013,3.25
2,70%,"4- B,S,C,L",2013,3.25
2,70%,"4- B,S,C,L",2013,3.5
2,70%,"4- B,S,C,L",2013,3.75
2,70%,"4- B,S,C,L",2013,4
2,63%,"3- B,S,C",2013,4
2,70%,"4- B,S,C,L",2014,2.75
2,70%,"4- B,S,C,L",2014,3.5
2,70%,"4- B,S,C,L",2014,3.5
2,70%,"4- B,S,C,L",2014,3.75
2,70%,"4- B,S,C,L",2014,4
2,70%,"4- B,S,C,L",2015,2.75
2,70%,"4- B,S,C,L",2015,3
2,70%,"4- B,S,C,L",2015,3.5
2,70%,"4- B,S,C,L",2015,3.5
2,63%,"4- B,S,C,L",2016,3.75
2,70%,"4- B,S,C,L",2018,3.5
2,63%,"4- B,S,C,L",2018,3.75
2,70%,"4- B,S,C,L",2021,4
3,70%,"2- B,S",2015,3.75
3,70%,"2- B,S",2015,3.75
3,74%,"2- B,S",2020,3.25
3,70%,"2- B,S",2020,3.5
4,60%,"3- B,S,C",2011,2.75
4,80%,"3- B,S,C",2011,3.25
4,88%,"3- B,S,C",2011,3.5
4,72%,"3- B,S,C",2011,3.5
5,70%,"2- B,S",2019,2.5
5,70%,"2- B,S",2019,2.75
5,70%,"2- B,S",2019,2.75
5,70%,"2- B,S",2019,3
6,55%,"4- B,S,C,V",2009,2.75
6,70%,"4- B,S,C,V",2009,3
7,70%,"3- B,S,C",2009,3
8,75%,"4- B,S,C,L",2010,2.75
8,75%,"4- B,S,C,L",2010,2.75
8,75%,"4- B,S,C,L",2011,3.75
9,75%,"5- B,S,C,V,L",2013,2.5
9,75%,"5- B,S,C,V,L",2013,2.5
9,65%,"6-B,S,C,V,L,Sa",2014,2.75
9,75%,"5-B,S,C,V,Sa",2014,2.75
9,75%,"5-B,S,C,V,Sa",2014,3
9,75%,"6-B,S,C,V,L,Sa",2017,3.5
10,70%,"3- B,S,C",2017,3.5
10,70%,"3- B,S,C",2017,3.5
10,70%,"3- B,S,C",2017,3.5
10,70%,"3- B,S,C",2017,3.5
11,60%,"4- B,S,C,L",2013,2.5
11,60%,"4- B,S,C,L",2013,3
11,60%,"4- B,S,C,L",2013,3
11,80%,"4- B,S,C,L",2013,3.25
11,60%,"4- B,S,C,L",2013,3.25
11,60%,"3- B,S,C",2016,2.5
11,60%,"3- B,S,C",2016,2.5
11,60%,"3- B,S,C",2016,2.75
