id_manufacturer,company_manufacturer,company_location
1,5150,U.S.A.
1,5150,U.S.A.
1,5150,U.S.A.
1,5150,U.S.A.
1,5150,U.S.A.
1,5150,U.S.A.
1,5150,U.S.A.
2,A. Morin,France
2,A. Morin,France
2,A. Morin,France
2,A. Morin,France
2,A. Morin,France
2,A. Morin,France
2,A. Morin,France
2,A. Morin,France
2,A. Morin,France
2,A. Morin,France
2,A. Morin,France
2,A. Morin,France
2,A. Morin,France
2,A. Morin,France
2,A. Morin,France
2,A. Morin,France
2,A. Morin,France
2,A. Morin,France
2,A. Morin,France
2,A. Morin,France
2,A. Morin,France
2,A. Morin,France
2,A. Morin,France
2,A. Morin,France
2,A. Morin,France
2,A. Morin,France
3,Acalli,U.S.A.
3,Acalli,U.S.A.
3,Acalli,U.S.A.
3,Acalli,U.S.A.
4,Adi aka Fijiana (Easy In Ltd),Fiji
4,Adi aka Fijiana (Easy In Ltd),Fiji
4,Adi aka Fijiana (Easy In Ltd),Fiji
4,Adi aka Fijiana (Easy In Ltd),Fiji
5,Aelan,Vanuatu
5,Aelan,Vanuatu
5,Aelan,Vanuatu
5,Aelan,Vanuatu
6,Aequare (Gianduja),Ecuador
6,Aequare (Gianduja),Ecuador
7,Ah Cacao,Mexico
8,Akesson's (Pralus),U.K.
8,Akesson's (Pralus),U.K.
8,Akesson's (Pralus),U.K.
9,Alain Ducasse,France
9,Alain Ducasse,France
9,Alain Ducasse,France
9,Alain Ducasse,France
9,Alain Ducasse,France
9,Alain Ducasse,France
10,Alexandre,Netherlands
10,Alexandre,Netherlands
10,Alexandre,Netherlands
10,Alexandre,Netherlands
11,Altus aka Cao Artisan,U.S.A.
11,Altus aka Cao Artisan,U.S.A.
11,Altus aka Cao Artisan,U.S.A.
11,Altus aka Cao Artisan,U.S.A.
11,Altus aka Cao Artisan,U.S.A.
11,Altus aka Cao Artisan,U.S.A.
11,Altus aka Cao Artisan,U.S.A.
11,Altus aka Cao Artisan,U.S.A.
11,Altus aka Cao Artisan,U.S.A.
11,Altus aka Cao Artisan,U.S.A.
11,Altus aka Cao Artisan,U.S.A.
12,Amano,U.S.A.
12,Amano,U.S.A.
12,Amano,U.S.A.
12,Amano,U.S.A.
12,Amano,U.S.A.
12,Amano,U.S.A.
12,Amano,U.S.A.
12,Amano,U.S.A.
12,Amano,U.S.A.
13,Amatller (Simon Coll),Spain
13,Amatller (Simon Coll),Spain
13,Amatller (Simon Coll),Spain
13,Amatller (Simon Coll),Spain
14,Amazing Cacao,Russia
14,Amazing Cacao,Russia
15,Amazona,Peru
15,Amazona,Peru
16,Ambrosia,Canada
16,Ambrosia,Canada
16,Ambrosia,Canada
16,Ambrosia,Canada
16,Ambrosia,Canada
16,Ambrosia,Canada
17,Amedei,Italy
17,Amedei,Italy
17,Amedei,Italy
17,Amedei,Italy
17,Amedei,Italy
17,Amedei,Italy
17,Amedei,Italy
17,Amedei,Italy
17,Amedei,Italy
17,Amedei,Italy
17,Amedei,Italy
17,Amedei,Italy
17,Amedei,Italy
18,AMMA,Brazil
18,AMMA,Brazil
18,AMMA,Brazil
18,AMMA,Brazil
18,AMMA,Brazil
19,Anahata,U.S.A.
20,Animas,U.S.A.
20,Animas,U.S.A.
20,Animas,U.S.A.
21,Ara,France
21,Ara,France
21,Ara,France
21,Ara,France
22,Arete,U.S.A.
22,Arete,U.S.A.
22,Arete,U.S.A.
22,Arete,U.S.A.
22,Arete,U.S.A.
22,Arete,U.S.A.
22,Arete,U.S.A.
22,Arete,U.S.A.
22,Arete,U.S.A.
22,Arete,U.S.A.
22,Arete,U.S.A.
22,Arete,U.S.A.
22,Arete,U.S.A.
22,Arete,U.S.A.
22,Arete,U.S.A.
22,Arete,U.S.A.
22,Arete,U.S.A.
22,Arete,U.S.A.
22,Arete,U.S.A.
22,Arete,U.S.A.
22,Arete,U.S.A.
22,Arete,U.S.A.
22,Arete,U.S.A.
22,Arete,U.S.A.
22,Arete,U.S.A.
22,Arete,U.S.A.
22,Arete,U.S.A.
22,Arete,U.S.A.
22,Arete,U.S.A.
22,Arete,U.S.A.
22,Arete,U.S.A.
22,Arete,U.S.A.
23,Argencove,Nicaragua
23,Argencove,Nicaragua
23,Argencove,Nicaragua
23,Argencove,Nicaragua
24,Artisan du Chocolat,U.K.
24,Artisan du Chocolat,U.K.
24,Artisan du Chocolat,U.K.
24,Artisan du Chocolat,U.K.
24,Artisan du Chocolat,U.K.
24,Artisan du Chocolat,U.K.
24,Artisan du Chocolat,U.K.
24,Artisan du Chocolat,U.K.
24,Artisan du Chocolat,U.K.
24,Artisan du Chocolat,U.K.
24,Artisan du Chocolat,U.K.
24,Artisan du Chocolat,U.K.
24,Artisan du Chocolat,U.K.
24,Artisan du Chocolat,U.K.
24,Artisan du Chocolat,U.K.
24,Artisan du Chocolat,U.K.
25,Artisan du Chocolat (Casa Luker),U.K.
26,Aruntam,Italy
26,Aruntam,Italy
26,Aruntam,Italy
27,Askinosie,U.S.A.
27,Askinosie,U.S.A.
27,Askinosie,U.S.A.
27,Askinosie,U.S.A.
27,Askinosie,U.S.A.
27,Askinosie,U.S.A.
28,Atypic,Australia
29,Auro,Philippines
29,Auro,Philippines
29,Auro,Philippines
29,Auro,Philippines
30,Avanaa,Canada
30,Avanaa,Canada
31,Bahen & Co.,Australia
31,Bahen & Co.,Australia
31,Bahen & Co.,Australia
31,Bahen & Co.,Australia
31,Bahen & Co.,Australia
32,Baiani,Brazil
33,Bakau,Peru
33,Bakau,Peru
34,Bankston,U.S.A.
34,Bankston,U.S.A.
34,Bankston,U.S.A.
35,Bar Au Chocolat,U.S.A.
35,Bar Au Chocolat,U.S.A.
35,Bar Au Chocolat,U.S.A.
35,Bar Au Chocolat,U.S.A.
35,Bar Au Chocolat,U.S.A.
35,Bar Au Chocolat,U.S.A.
35,Bar Au Chocolat,U.S.A.
36,Baravelli's,Wales
37,Batch,U.S.A.
37,Batch,U.S.A.
37,Batch,U.S.A.
38,Bean,U.K.
39,Beau Cacao,U.K.
39,Beau Cacao,U.K.
40,Beehive,U.S.A.
40,Beehive,U.S.A.
40,Beehive,U.S.A.
40,Beehive,U.S.A.
41,Belcolade,Belgium
41,Belcolade,Belgium
41,Belcolade,Belgium
41,Belcolade,Belgium
42,Bellflower,U.S.A.
42,Bellflower,U.S.A.
42,Bellflower,U.S.A.
43,Belvie,Vietnam
43,Belvie,Vietnam
44,Belyzium,Germany
44,Belyzium,Germany
44,Belyzium,Germany
45,Benns,Singapore
45,Benns,Singapore
45,Benns,Singapore
46,Benoit Nihant,Belgium
46,Benoit Nihant,Belgium
46,Benoit Nihant,Belgium
46,Benoit Nihant,Belgium
46,Benoit Nihant,Belgium
46,Benoit Nihant,Belgium
47,Bernachon,France
48,Beschle (Felchlin),Switzerland
48,Beschle (Felchlin),Switzerland
48,Beschle (Felchlin),Switzerland
48,Beschle (Felchlin),Switzerland
48,Beschle (Felchlin),Switzerland
48,Beschle (Felchlin),Switzerland
48,Beschle (Felchlin),Switzerland
48,Beschle (Felchlin),Switzerland
49,Bisou,U.S.A.
49,Bisou,U.S.A.
49,Bisou,U.S.A.
49,Bisou,U.S.A.
50,Bitacora,Venezuela
50,Bitacora,Venezuela
50,Bitacora,Venezuela
51,Bittersweet Origins,U.S.A.
51,Bittersweet Origins,U.S.A.
51,Bittersweet Origins,U.S.A.
51,Bittersweet Origins,U.S.A.
51,Bittersweet Origins,U.S.A.
51,Bittersweet Origins,U.S.A.
51,Bittersweet Origins,U.S.A.
51,Bittersweet Origins,U.S.A.
51,Bittersweet Origins,U.S.A.
51,Bittersweet Origins,U.S.A.
51,Bittersweet Origins,U.S.A.
51,Bittersweet Origins,U.S.A.
51,Bittersweet Origins,U.S.A.
51,Bittersweet Origins,U.S.A.
52,Bixby,U.S.A.
52,Bixby,U.S.A.
52,Bixby,U.S.A.
52,Bixby,U.S.A.
53,Black Mountain,U.S.A.
53,Black Mountain,U.S.A.
53,Black Mountain,U.S.A.
53,Black Mountain,U.S.A.
54,Black River (A. Morin),U.K.
55,Black Sheep,U.S.A.
55,Black Sheep,U.S.A.
56,Blanxart,Spain
56,Blanxart,Spain
57,Blue Bandana,U.S.A.
57,Blue Bandana,U.S.A.
57,Blue Bandana,U.S.A.
57,Blue Bandana,U.S.A.
57,Blue Bandana,U.S.A.
57,Blue Bandana,U.S.A.
58,Boho,U.S.A.
59,Bonaterra,Malaysia
59,Bonaterra,Malaysia
59,Bonaterra,Malaysia
60,Bonnat,France
60,Bonnat,France
60,Bonnat,France
60,Bonnat,France
60,Bonnat,France
60,Bonnat,France
60,Bonnat,France
60,Bonnat,France
60,Bonnat,France
60,Bonnat,France
60,Bonnat,France
60,Bonnat,France
60,Bonnat,France
60,Bonnat,France
60,Bonnat,France
60,Bonnat,France
60,Bonnat,France
60,Bonnat,France
60,Bonnat,France
60,Bonnat,France
60,Bonnat,France
60,Bonnat,France
60,Bonnat,France
60,Bonnat,France
60,Bonnat,France
60,Bonnat,France
60,Bonnat,France
60,Bonnat,France
60,Bonnat,France
60,Bonnat,France
61,Bouga Cacao (Tulicorp),Ecuador
61,Bouga Cacao (Tulicorp),Ecuador
62,Bowler Man,U.S.A.
62,Bowler Man,U.S.A.
63,Brasstown,U.S.A.
63,Brasstown,U.S.A.
63,Brasstown,U.S.A.
63,Brasstown,U.S.A.
64,Brasstown aka It's Chocolate,U.S.A.
64,Brasstown aka It's Chocolate,U.S.A.
64,Brasstown aka It's Chocolate,U.S.A.
64,Brasstown aka It's Chocolate,U.S.A.
64,Brasstown aka It's Chocolate,U.S.A.
64,Brasstown aka It's Chocolate,U.S.A.
64,Brasstown aka It's Chocolate,U.S.A.
64,Brasstown aka It's Chocolate,U.S.A.
64,Brasstown aka It's Chocolate,U.S.A.
64,Brasstown aka It's Chocolate,U.S.A.
64,Brasstown aka It's Chocolate,U.S.A.
65,Brazen,U.S.A.
65,Brazen,U.S.A.
65,Brazen,U.S.A.
65,Brazen,U.S.A.
65,Brazen,U.S.A.
65,Brazen,U.S.A.
66,Breeze Mill,U.S.A.
67,Bright,Australia
67,Bright,Australia
67,Bright,Australia
67,Bright,Australia
68,Britarev,Russia
69,Bronx Grrl Chocolate,U.S.A.
70,Bullion,U.K.
70,Bullion,U.K.
71,Burnt Fork Bend,U.S.A.
71,Burnt Fork Bend,U.S.A.
71,Burnt Fork Bend,U.S.A.
71,Burnt Fork Bend,U.S.A.
71,Burnt Fork Bend,U.S.A.
72,By Cacao,South Korea
74,Cacai Cacao,Taiwan
74,Cacai Cacao,Taiwan
75,Cacao 70,Canada
75,Cacao 70,Canada
75,Cacao 70,Canada
76,Cacao Arabuco,Puerto Rico
77,Cacao Atlanta,U.S.A.
77,Cacao Atlanta,U.S.A.
77,Cacao Atlanta,U.S.A.
77,Cacao Atlanta,U.S.A.
78,Cacao Barry,France
78,Cacao Barry,France
78,Cacao Barry,France
78,Cacao Barry,France
78,Cacao Barry,France
79,Cacao Betulia,Switzerland
79,Cacao Betulia,Switzerland
79,Cacao Betulia,Switzerland
80,Cacao de Origen,Venezuela
80,Cacao de Origen,Venezuela
80,Cacao de Origen,Venezuela
80,Cacao de Origen,Venezuela
